,,setosa,versicolor,virginica
sepal_length_cm,count,48.0,50.0,49.0
sepal_length_cm,mean,5.010416666666667,5.936,6.6040816326530605
sepal_length_cm,std,0.35921876421948773,0.5161711470638634,0.6321125900744363
sepal_length_cm,min,4.3,4.9,4.9
sepal_length_cm,25%,4.8,5.6,6.3
sepal_length_cm,50%,5.0,5.9,6.5
sepal_length_cm,75%,5.2,6.3,6.9
sepal_length_cm,max,5.8,7.0,7.9
sepal_width_cm,count,48.0,50.0,49.0
sepal_width_cm,mean,3.4197916666666663,2.7710000000000004,2.979591836734694
sepal_width_cm,std,0.3593344295631905,0.31136467234365794,0.3233803177869253
sepal_width_cm,min,2.3,2.05,2.2
sepal_width_cm,25%,3.2,2.525,2.8
sepal_width_cm,50%,3.4,2.8,3.0
sepal_width_cm,75%,3.7,3.0,3.2
sepal_width_cm,max,4.05,3.4,3.8
petal_length_cm,count,48.0,50.0,49.0
petal_length_cm,mean,1.4625000000000001,4.26,5.5612244897959195
petal_length_cm,std,0.17700222381100908,0.46991097723995795,0.5537058208601584
petal_length_cm,min,1.0,3.0,4.5
petal_length_cm,25%,1.4,4.0,5.1
petal_length_cm,50%,1.5,4.35,5.6
petal_length_cm,75%,1.6,4.6,5.9
petal_length_cm,max,1.9,5.1,6.9
petal_width_cm,count,48.0,50.0,49.0
petal_width_cm,mean,0.25,1.3259999999999998,2.0285714285714285
petal_width_cm,std,0.10518474122815553,0.19775268000454405,0.2768874620972691
petal_width_cm,min,0.1,1.0,1.4
petal_width_cm,25%,0.2,1.2,1.8
petal_width_cm,50%,0.2,1.3,2.0
petal_width_cm,75%,0.3,1.5,2.3
petal_width_cm,max,0.6,1.8,2.5
species_id,count,48.0,50.0,49.0
species_id,mean,0.0,1.0,2.0
species_id,std,0.0,0.0,0.0
species_id,min,0.0,1.0,2.0
species_id,25%,0.0,1.0,2.0
species_id,50%,0.0,1.0,2.0
species_id,75%,0.0,1.0,2.0
species_id,max,0.0,1.0,2.0
