,,Andhra Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
unemployment_rate,count,38.0,36.0,38.0,12.0,38.0,38.0,34.0,38.0,38.0,38.0,30.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,36.0,38.0,38.0,25.0,38.0,38.0,38.0,38.0,37.0,38.0
unemployment_rate,mean,7.789473684210523,5.991388888888889,18.8446052631579,15.991666666666667,8.866315789473685,17.000263157894736,10.125,6.588157894736842,26.597368421052625,17.888947368421054,16.275333333333332,19.146578947368422,6.937105263157895,9.942368421052631,7.261052631578948,7.668421052631581,4.546756756756757,5.869473684210526,9.359583333333335,12.017894736842106,14.534473684210528,8.0632,9.975921052631579,7.499736842105263,27.483157894736838,11.810789473684212,7.81891891891892,8.668684210526317
unemployment_rate,std,6.498970374737923,3.1232274083781424,12.271683643028211,5.508220028174971,5.312995501116022,7.497189558776515,6.705194842716197,4.774618623662258,7.480610859653802,8.935751995600862,4.9665465232710835,13.967580180124024,8.39972744342073,6.343650766694729,7.261454246976898,5.17145884917728,3.754970079814259,5.991225542348474,17.063077363334635,6.760167180842832,5.4320493854820375,7.05607345955714,14.567152416795103,7.515918057908865,6.868255652210769,5.916169954240139,4.599254639965399,4.128380463200205
unemployment_rate,min,0.85,0.0,8.87,7.22,0.0,6.27,0.0,1.41,14.54,1.12,2.22,5.01,0.37,3.88,1.19,3.03,0.24,1.42,0.0,1.13,4.03,0.0,0.89,1.35,11.57,3.75,1.63,3.78
unemployment_rate,25%,4.1850000000000005,4.1375,11.2275,11.68,6.3725000000000005,12.61,4.422499999999999,4.1175,23.1325,13.4625,13.137500000000001,8.610000000000001,2.395,6.0875,3.91,4.265000000000001,1.66,2.2424999999999997,0.58,9.6175,11.9875,4.04,1.7475,4.1975,25.31,8.45,4.83,6.1674999999999995
unemployment_rate,50%,5.8100000000000005,4.895,14.485,17.51,8.265,15.51,10.440000000000001,5.42,25.61,17.275,16.155,16.035,3.59,7.645,4.87,6.155,3.73,3.725,1.75,10.760000000000002,14.13,5.7,3.045,5.779999999999999,27.31,10.74,6.34,7.245
unemployment_rate,75%,7.4325,9.29,19.38,20.4625,9.8725,18.17,14.8675,6.574999999999999,29.3125,23.5425,19.875,21.1075,6.449999999999999,10.6125,6.735,7.7725,5.8,4.7,5.4525,13.0175,15.7925,9.68,7.74,6.875,32.480000000000004,12.88,9.17,8.99
unemployment_rate,max,32.3,11.17,50.445,22.05,27.07,45.78,25.2,25.94,46.89,50.0,24.06,50.445,33.17,30.28,40.49,25.28,17.39,24.48,50.445,40.59,35.53,24.51,50.445,36.57,43.64,32.06,22.26,18.43
employed_count,count,38.0,36.0,38.0,12.0,38.0,38.0,34.0,38.0,38.0,38.0,30.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,36.0,38.0,38.0,25.0,38.0,38.0,38.0,38.0,37.0,38.0
employed_count,mean,10067616.02631579,6870189.75,15324252.0,316831.25,5387143.47368421,3155225.763157895,289857.29411764705,14383258.394736841,4422068.921052632,1316155.605263158,2252961.6666666665,5601188.315789473,13550513.578947369,5523503.552631579,14063603.0,25046659.63157895,868136.4054054054,8172348.52631579,254773.86111111112,5656117.842105263,12591245.657894736,147726.32,14827007.631578946,10125036.368421054,896026.052631579,35313244.5,1755916.4324324324,21437123.86842105
